Name,NickName,Age,Birthday,Gender,Height,Weight,Weight_class,Url,RecordDraws,RecordLosses,RecordNoContests,RecordWins,WeightClassAbbreviation,WeightClassId,Stance
Danny Barlow,LeftHand2God,29,8/2/1995,Male,74,170,Welterweight,http://www.ufc.com/athlete/danny-barlow,0,0,0,9,WW,4,Southpaw
Vinicius Oliveira,LokDog,29,11/30/1995,Male,69,135,Bantamweight,http://www.ufc.com/athlete/vinicius-oliveira,0,3,0,21,BW,7,Switch
Victor Dias,Crazy Horse,34,12/26/1990,Male,66,125,Flyweight,http://www.ufc.com/athlete/victor-dias,0,3,0,11,FLW,8,Orthodox
Bogdan Guskov,Czarevitch,32,9/12/1992,Male,75,205,Light Heavyweight,http://www.ufc.com/athlete/bogdan-guskov,0,3,0,17,LHW,2,Orthodox
Victor Madrigal,Periquito,34,8/16/1990,Male,67,135,Bantamweight,http://www.ufc.com/athlete/victor-madrigal,0,5,0,15,BW,7,Orthodox
Angel Pacheco,N/A,33,1/13/1992,Male,68,135,Featherweight,http://www.ufc.com/athlete/angel-pacheco,0,3,0,7,FTW,6,Orthodox
Danny Silva,El Puma,28,1/30/1997,Male,71,145,Featherweight,http://www.ufc.com/athlete/danny-silva,0,1,0,9,FTW,6,Switch
Albert Rios,N/A,N/A,N/A,N/A,68,145,N/A,http://www.ufc.com/athlete/albert-rios,0,6,0,13,N/A,N/A,N/A
Alex Crispin,N/A,N/A,N/A,N/A,0,155,N/A,http://www.ufc.com/athlete/alex-crispin,0,1,0,0,N/A,N/A,N/A
AJ Siscoe,Let's Go,N/A,N/A,N/A,67,135,N/A,http://www.ufc.com/athlete/aj-siscoe,0,2,0,1,N/A,N/A,N/A
Abel Cullum,The Silent Assassin,37,4/21/1987,N/A,67,139,N/A,http://www.ufc.com/athlete/abel-cullum,0,6,0,20,N/A,N/A,Orthodox
Adam Smith,N/A,N/A,N/A,N/A,0,0,N/A,http://www.ufc.com/athlete/adam-smith,0,3,0,0,N/A,N/A,N/A
Adin Duenas,N/A,36,7/2/1988,N/A,66,145,N/A,http://www.ufc.com/athlete/adin-duenas,0,1,0,6,N/A,N/A,N/A
Alex Dunworth,N/A,N/A,N/A,N/A,68,155,N/A,http://www.ufc.com/athlete/alex-dunworth,0,2,1,2,N/A,N/A,N/A
Aaron Ely,The Cyborg,35,3/18/1989,N/A,68,135,N/A,http://www.ufc.com/athlete/aaron-ely,0,2,0,5,N/A,N/A,N/A
Patricio Freire,Pitbull,37,7/7/1987,N/A,65,145,N/A,http://www.ufc.com/athlete/patricio-freire,0,4,0,26,N/A,N/A,N/A
Patricky Freire,Pitbull,38,6/1/1986,N/A,67,155,N/A,http://www.ufc.com/athlete/patricky-freire,0,8,0,17,N/A,N/A,N/A
Alavutdin Gadjiev,N/A,42,6/23/1982,N/A,74,185,N/A,http://www.ufc.com/athlete/alavutdin-gadjiev,1,13,0,18,N/A,N/A,Orthodox
Alan Hiro,Yamaniha,38,4/4/1986,N/A,65,135,N/A,http://www.ufc.com/athlete/alan-hiro,4,5,0,14,N/A,N/A,Orthodox
Alex Huddleston,The Shaved Gorilla,38,8/11/1986,N/A,79,254,N/A,http://www.ufc.com/athlete/alex-huddleston,0,2,0,6,N/A,N/A,N/A
Adam Steele,N/A,N/A,N/A,N/A,0,170,N/A,http://www.ufc.com/athlete/adam-steele,0,1,0,0,N/A,N/A,N/A
Abram Torres,N/A,42,10/29/1982,N/A,70,170,N/A,http://www.ufc.com/athlete/abram-torres,0,3,0,4,N/A,N/A,N/A
Aaron Trujillo,N/A,N/A,N/A,N/A,65,125,N/A,http://www.ufc.com/athlete/aaron-trujillo,0,1,0,0,N/A,N/A,N/A
Alejandro Villalobos,N/A,45,10/26/1979,N/A,67,145,N/A,http://www.ufc.com/athlete/alejandro-villalobos,0,5,0,17,N/A,N/A,N/A
Akira Kikuchi,N/A,46,7/23/1978,N/A,68,155,N/A,http://www.ufc.com/athlete/akira-kikuchi,0,4,0,16,N/A,N/A,Orthodox
AJ McKee,Mercenary,N/A,N/A,N/A,70,145,N/A,http://www.ufc.com/athlete/aj-mckee,0,0,0,8,N/A,N/A,N/A
Adam Meredith,N/A,N/A,N/A,N/A,74,170,N/A,http://www.ufc.com/athlete/adam-meredith,0,3,0,5,N/A,N/A,N/A
Aaron Miller,Blood Spiller,N/A,N/A,N/A,69,145,N/A,http://www.ufc.com/athlete/aaron-miller,0,10,1,14,N/A,N/A,N/A
Akiyo Nishiura,Wicky Akiyo,41,8/8/1983,N/A,68,139,N/A,http://www.ufc.com/athlete/akiyo-nishiura,1,8,0,13,N/A,N/A,Southpaw
Michael Page,Venom,37,4/7/1987,Male,75,170,Middleweight,http://www.ufc.com/athlete/michael-page,0,3,0,22,WW,3,Switch
Adam Piccolotti,N/A,36,10/23/1988,N/A,71,155,N/A,http://www.ufc.com/athlete/adam-piccolotti,0,0,0,9,N/A,N/A,N/A
Bibiano Fernandes,N/A,44,3/30/1980,Male,67,139,Bantamweight,http://www.ufc.com/athlete/bibiano-fernandes,0,3,0,20,BW,7,Orthodox
Jesse Forbes,Kid Hercules,40,10/24/1984,Male,74,185,Middleweight,http://www.ufc.com/athlete/jesse-forbes,0,5,0,15,MW,3,Southpaw
Yanis Ghemmouri,The Desert Warrior,30,1/24/1995,Male,69,135,Bantamweight,http://www.ufc.com/athlete/yanis-ghemmouri,0,3,0,12,BW,7,Orthodox
Lance Gibson,Fearless,54,11/20/1970,Male,69,185,Middleweight,http://www.ufc.com/athlete/lance-gibson,0,5,0,4,MW,3,Orthodox
Jason Godsey,N/A,N/A,N/A,Male,74,230,Heavyweight,http://www.ufc.com/athlete/jason-godsey,0,16,0,16,HW,1,Orthodox
Steven Graham,N/A,N/A,N/A,Male,73,290,Heavyweight,http://www.ufc.com/athlete/steven-graham,0,1,0,2,HW,1,Orthodox
Josh Janousek,N/A,44,9/25/1980,Male,71,185,Lightweight,http://www.ufc.com/athlete/josh-janousek,0,1,0,8,LW,5,Orthodox
Caolan Loughran,The Don,28,5/18/1996,Male,66,135,Bantamweight,http://www.ufc.com/athlete/caolan-loughran,0,2,0,9,BW,7,Orthodox
Michael McDonald,Mayday,34,1/15/1991,Male,69,135,Bantamweight,http://www.ufc.com/athlete/michael-mcdonald,0,4,0,17,BW,7,Orthodox
Brandon Melendez,The Murderer,41,3/24/1983,Male,71,155,Lightweight,http://www.ufc.com/athlete/brandon-melendez,0,25,0,25,LW,5,Southpaw
Billy Miles,The Kid,46,4/28/1978,Male,70,170,Welterweight,http://www.ufc.com/athlete/billy-miles,0,2,0,2,WW,4,Orthodox
David Roberts,N/A,49,11/15/1975,Male,73,170,Lightweight,http://www.ufc.com/athlete/david-roberts,0,8,0,5,LW,5,Orthodox
Paulo Santos,N/A,N/A,N/A,Male,0,0,Lightweight,http://www.ufc.com/athlete/paulo-santos,0,3,0,0,LW,5,N/A
David Gardner,N/A,47,5/17/1977,N/A,71,155,N/A,http://www.ufc.com/athlete/david-gardner,0,21,0,18,N/A,N/A,Orthodox
Dave Dalgliesh,N/A,46,4/5/1978,N/A,74,205,N/A,http://www.ufc.com/athlete/dave-dalgliesh,2,19,0,30,N/A,N/A,Orthodox
Joe Warren,N/A,48,10/31/1976,N/A,66,135,N/A,http://www.ufc.com/athlete/joe-warren,0,6,0,15,N/A,N/A,Orthodox
Leiticia Pestova,N/A,41,1/15/1984,N/A,66,135,N/A,http://www.ufc.com/athlete/leiticia-pestova,0,2,0,0,N/A,N/A,Orthodox
Edwin Aguilar,Tigre,N/A,N/A,N/A,70,185,N/A,http://www.ufc.com/athlete/edwin-aguilar,0,19,1,26,N/A,N/A,N/A
Marko Damiani,N/A,N/A,N/A,N/A,72,170,N/A,http://www.ufc.com/athlete/marko-damiani,0,2,0,0,N/A,N/A,N/A
Billy Giovanella,Wolverine,39,8/20/1985,N/A,68,125,N/A,http://www.ufc.com/athlete/billy-giovanella,0,5,0,9,N/A,N/A,N/A
Israel Albuquerque,N/A,N/A,N/A,N/A,0,185,N/A,http://www.ufc.com/athlete/israel-albuquerque,0,3,0,0,N/A,N/A,Orthodox
Shoji Maruyama,N/A,41,4/24/1983,N/A,67,139,N/A,http://www.ufc.com/athlete/shoji-maruyama,1,9,0,12,N/A,N/A,Orthodox
Josh Burns,The Hammer,46,5/15/1978,N/A,73,244,N/A,http://www.ufc.com/athlete/josh-burns,0,10,0,8,N/A,N/A,N/A
Eduardo Dantas,Dudu,35,2/3/1989,N/A,70,135,N/A,http://www.ufc.com/athlete/eduardo-dantas,0,4,0,20,N/A,N/A,N/A
Israel Giron,El Rojo,51,1/16/1974,N/A,68,155,N/A,http://www.ufc.com/athlete/israel-giron,0,5,0,19,N/A,N/A,N/A
Levi Alford,N/A,N/A,N/A,N/A,0,0,N/A,http://www.ufc.com/athlete/levi-alford,0,7,0,1,N/A,N/A,N/A
Merritt Warren,N/A,N/A,N/A,N/A,70,155,N/A,http://www.ufc.com/athlete/merritt-warren,0,3,0,3,N/A,N/A,Southpaw
Tommy Petersen,N/A,N/A,N/A,N/A,0,155,N/A,http://www.ufc.com/athlete/tommy-petersen,0,3,0,2,N/A,N/A,N/A
Koichiro Matsumoto,N/A,38,3/7/1986,N/A,67,145,N/A,http://www.ufc.com/athlete/koichiro-matsumoto,1,3,0,15,N/A,N/A,N/A
Rafael Dias,N/A,45,10/20/1979,N/A,69,145,N/A,http://www.ufc.com/athlete/rafael-dias,2,12,0,17,N/A,N/A,Orthodox
Idris Wasi,N/A,35,12/11/1989,N/A,72,186,N/A,http://www.ufc.com/athlete/idris-wasi,0,14,0,2,N/A,N/A,N/A
George Allen,N/A,58,1/13/1967,N/A,74,205,N/A,http://www.ufc.com/athlete/george-allen,2,19,0,13,N/A,N/A,Open Stance
Brandon Girtz,Cold Roll,39,3/6/1985,N/A,67,155,N/A,http://www.ufc.com/athlete/brandon-girtz,0,7,0,14,N/A,N/A,N/A
Nick Bustamante,N/A,N/A,N/A,N/A,69,170,N/A,http://www.ufc.com/athlete/nick-bustamante,0,3,0,5,N/A,N/A,N/A
Dino Pezao,N/A,N/A,N/A,N/A,0,205,N/A,http://www.ufc.com/athlete/dino-pezao,0,3,0,1,N/A,N/A,Orthodox
Claudio Mattos,Popeye,N/A,N/A,N/A,0,185,N/A,http://www.ufc.com/athlete/claudio-mattos,0,4,0,5,N/A,N/A,Orthodox
Michael Diaz,N/A,N/A,N/A,N/A,0,260,N/A,http://www.ufc.com/athlete/michael-diaz,0,2,0,1,N/A,N/A,N/A
Kengo Watanabe,N/A,49,1/31/1976,N/A,76,220,N/A,http://www.ufc.com/athlete/kengo-watanabe,3,13,1,8,N/A,N/A,Orthodox
Mauricio Alonso,N/A,44,2/27/1980,N/A,74,170,N/A,http://www.ufc.com/athlete/mauricio-alonso,0,7,1,13,N/A,N/A,N/A
David Gomez,N/A,41,8/8/1983,N/A,0,155,N/A,http://www.ufc.com/athlete/david-gomez,0,2,0,1,N/A,N/A,N/A
Eduardo Bustillos,N/A,37,6/2/1987,N/A,68,135,N/A,http://www.ufc.com/athlete/eduardo-bustillos,0,3,0,5,N/A,N/A,N/A
Brooke Mayo,The Bully,N/A,N/A,N/A,67,125,N/A,http://www.ufc.com/athlete/brooke-mayo,0,1,0,0,N/A,N/A,N/A
Dave Phillips,The Rockstar,45,1/12/1980,N/A,72,185,N/A,http://www.ufc.com/athlete/dave-phillips,0,7,0,13,N/A,N/A,Orthodox
Mark Dickman,Tricky,40,7/19/1984,N/A,69,145,N/A,http://www.ufc.com/athlete/mark-dickman,0,3,0,11,N/A,N/A,N/A
Ho Bae Myeon,N/A,N/A,N/A,N/A,71,168,N/A,http://www.ufc.com/athlete/ho-bae-myeon,1,5,0,13,N/A,N/A,Orthodox
Gabrielle Holloway,Gabanator,34,4/15/1990,N/A,63,145,N/A,http://www.ufc.com/athlete/gabrielle-holloway,0,5,0,6,N/A,N/A,N/A
Kazuhisa Watanabe,N/A,41,5/18/1983,N/A,66,139,N/A,http://www.ufc.com/athlete/kazuhisa-watanabe,0,1,0,0,N/A,N/A,N/A
Andre Amado,Dida,N/A,N/A,N/A,72,154,N/A,http://www.ufc.com/athlete/andre-amado,1,4,0,6,N/A,N/A,Orthodox
Bobby McAndrews,N/A,N/A,N/A,N/A,0,0,N/A,http://www.ufc.com/athlete/bobby-mcandrews,0,3,0,1,N/A,N/A,Orthodox
Josh Diekmann,The Freight Train,48,10/9/1976,N/A,64,246,N/A,http://www.ufc.com/athlete/josh-diekmann,0,8,1,15,N/A,N/A,N/A
Jason Butcher,N/A,40,10/23/1984,N/A,75,185,N/A,http://www.ufc.com/athlete/jason-butcher,0,2,0,10,N/A,N/A,N/A
Nick Pica,The Silverback,N/A,N/A,N/A,70,185,N/A,http://www.ufc.com/athlete/nick-pica,0,1,0,5,N/A,N/A,N/A
Chris Honeycutt,The Cutt,36,7/25/1988,N/A,70,170,N/A,http://www.ufc.com/athlete/chris-honeycutt,0,1,1,9,N/A,N/A,N/A
Katsuhiko Nagata,N/A,51,10/31/1973,N/A,67,154,N/A,http://www.ufc.com/athlete/katsuhiko-nagata,3,7,0,6,N/A,N/A,Southpaw
